Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Total_Transition,Transition_Seconds,Swim_Time,Swim_Seconds,T1_Time,T1_Seconds,Bike_Time,Bike_Seconds,T2_Time,T2_Seconds,Run_Time,Run_Seconds,Swim_In,T1,Bike_Out,Bike_In,T2,Run_Out,Overall_Rank,Class_Rank
Jonatan Hägerström,0,Herr,TriVäst,01:07:22,4042.3,ok,00:01:54,114.4,00:10:47,647.8,00:01:06,66.6,00:34:52,2092.9,00:00:47,47.8,00:19:47,1187.2,00:10:47,00:01:06,00:11:54,00:46:47,00:00:47,00:47:35,1,1
Daan Gehlen,0,Herr,TriVäst,01:07:42,4062.8,ok,00:02:38,158.7,00:09:57,597.9,00:01:49,109.0,00:35:39,2139.7,00:00:49,49.7,00:19:26,1166.5,00:09:57,00:01:49,00:11:46,00:47:26,00:00:49,00:48:16,2,2
Martin Flinta,0,Herr,TriVäst,01:10:12,4212.5,ok,00:01:03,63.7,00:10:54,654.4,00:01:03,63.7,00:38:04,2284.8,00:00:00,0.0,00:20:09,1209.5,00:10:54,00:01:03,00:11:58,00:50:02,,,3,3
Jan Ljungcrantz,0,Herr,TriVäst,01:13:13,4393.1,ok,00:02:26,146.6,00:12:25,745.9,00:01:15,75.5,00:38:00,2280.1,00:01:11,71.1,00:20:20,1220.4,00:12:25,00:01:15,00:13:41,00:51:41,00:01:11,00:52:52,4,4
Staffet Gänget (Adam Millberg / Josephine Flod / My Försberg),0,Staffet,TriVäst,01:16:31,4591.1,ok,00:02:03,123.4,00:13:00,780.5,00:01:39,100.0,00:39:30,2370.6,00:00:23,23.5,00:21:56,1316.6,00:13:00,00:01:39,00:14:40,00:54:11,00:00:23,00:54:34,,1
Simon Flinta,0,Herr,TriVäst,01:21:01,4861.6,ok,00:02:18,138.5,00:10:08,608.0,00:01:49,109.0,00:43:58,2638.1,00:00:29,29.5,00:24:37,1477.0,00:10:08,00:01:49,00:11:57,00:55:55,00:00:29,00:56:24,5,5
Rasmus Johansson,0,Herr,TriVäst,01:21:37,4897.4,ok,00:02:32,152.4,00:15:00,900.2,00:01:34,94.9,00:42:53,2573.2,00:00:57,57.5,00:21:11,1271.5,00:15:00,00:01:34,00:16:35,00:59:28,00:00:57,01:00:25,6,6
Karl Wackerberg,0,Herr,TriVäst,01:22:59,4979.5,ok,00:02:03,123.1,00:10:51,651.3,00:01:10,70.8,00:45:31,2731.0,00:00:52,52.3,00:24:34,1474.0,00:10:51,00:01:10,00:12:02,00:57:33,00:00:52,00:58:25,7,7
Michael Kossenjans,0,Herr,TriVäst,01:23:05,4985.8,ok,00:02:56,176.7,00:12:50,770.4,00:01:57,117.7,00:43:54,2634.6,00:00:58,59.0,00:23:24,1404.1,00:12:50,00:01:57,00:14:48,00:58:42,00:00:58,00:59:41,8,8
Arvid Månesjö,0,Herr,Gäst,01:29:20,5360.5,ok,00:02:15,135.2,00:13:25,805.3,00:01:23,83.9,00:48:56,2936.6,00:00:51,51.3,00:24:43,1483.4,00:13:25,00:01:23,00:14:49,01:03:45,00:00:51,01:04:37,9,9
Jens Lejhall,0,Herr,TriVäst,01:31:01,5462.0,ok,00:04:22,262.1,00:15:00,900.9,00:02:28,148.2,00:46:26,2787.0,00:01:53,113.9,00:25:11,1512.0,00:15:00,00:02:28,00:17:29,01:03:56,00:01:53,01:05:49,10,10
Evelina Gårdsby,0,Dam,TriVäst,01:38:30,5910.3,ok,00:03:22,202.6,00:13:21,801.2,00:02:07,127.6,00:55:38,3338.6,00:01:14,75.0,00:26:07,1567.9,00:13:21,00:02:07,00:15:28,01:11:07,00:01:14,01:12:22,11,1
Ida Stjernkvist,0,Dam,TriVäst,01:44:54,6294.3,ok,00:05:31,331.1,00:15:05,905.2,00:04:38,278.1,00:52:13,3133.3,00:00:52,53.0,00:32:04,1924.8,00:15:05,00:04:38,00:19:43,01:11:56,00:00:52,01:12:49,12,2
Kornelia Krumkühler,0,Dam,TriVäst,01:44:54,6294.7,ok,00:04:53,293.3,00:15:36,936.1,00:04:06,246.7,00:52:14,3134.4,00:00:46,46.7,00:32:10,1930.9,00:15:36,00:04:06,00:19:42,01:11:57,00:00:46,01:12:43,13,3
