Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Total_Transition,Transition_Seconds,Bike_Time,Bike_Seconds,Overall_Rank,Class_Rank
Kristoffer Säfström,28,Herr,TriVäst,00:23:54,1435.0,ok,00:00:00,0.0,00:00:00,0.0,1,1
Jonas Örarbäck,14,Herr,TriVäst,00:24:12,1452.8,ok,00:00:00,0.0,00:00:00,0.0,2,2
Jonathan Flod,12,Herr,TriVäst,00:24:26,1466.1,ok,00:00:00,0.0,00:00:00,0.0,3,3
Tobias Olsson,31,Herr,TriVäst,00:26:05,1565.4,ok,00:00:00,0.0,00:00:00,0.0,4,4
Teddie Heikkinen,27,Herr,TriVäst,00:26:23,1583.4,ok,00:00:00,0.0,00:00:00,0.0,5,5
Daan Gehlen,15,Herr,TriVäst,00:26:35,1595.2,ok,00:00:00,0.0,00:00:00,0.0,6,6
Jan Ljungcrantz,26,Herr,TriVäst,00:26:36,1596.5,ok,00:00:00,0.0,00:00:00,0.0,7,7
Fredrik Überbacher,13,Herr,TriVäst,00:27:07,1627.2,ok,00:00:00,0.0,00:00:00,0.0,8,8
Johan Lindberg,32,Herr,Gäst,00:27:19,1639.2,ok,00:00:00,0.0,00:00:00,0.0,9,9
Christoffer Alm,18,Herr,TriVäst,00:28:08,1688.7,ok,00:00:00,0.0,00:00:00,0.0,10,10
Emma Nilsson,1,Dam,TriVäst,00:28:09,1689.0,ok,00:00:00,0.0,00:00:00,0.0,11,1
Peter Ljungberg,29,Herr,TriVäst,00:28:26,1706.5,ok,00:00:00,0.0,00:00:00,0.0,12,11
Marko Strube,22,Herr,TriVäst,00:28:27,1707.0,ok,00:00:00,0.0,00:00:00,0.0,13,12
Johan Ekbäck,30,Herr,TriVäst,00:29:10,1750.5,ok,00:00:00,0.0,00:00:00,0.0,14,13
Stefan Hillerstig,17,Herr,TriVäst,00:29:46,1786.2,ok,00:00:00,0.0,00:00:00,0.0,15,14
Michael Kossenjans,23,Herr,TriVäst,00:29:56,1796.6,ok,00:00:00,0.0,00:00:00,0.0,16,15
My Forsberg,2,Dam,TriVäst,00:30:05,1805.7,ok,00:00:00,0.0,00:00:00,0.0,17,2
Helena Jakobsson Larsson,9,Dam,TriVäst,00:30:15,1815.6,ok,00:00:00,0.0,00:00:00,0.0,18,3
Sofia Haglund,8,Dam,TriVäst,00:31:42,1902.4,ok,00:00:00,0.0,00:00:00,0.0,19,4
Ronny Rosén,24,Herr,TriVäst,00:31:51,1911.1,ok,00:00:00,0.0,00:00:00,0.0,20,16
Richard Stikkelorum,20,Herr,TriVäst,00:33:24,2004.6,ok,00:00:00,0.0,00:00:00,0.0,21,17
Hanna Csakvary,5,Dam,TriVäst,00:34:34,2074.2,ok,00:00:00,0.0,00:00:00,0.0,22,5
Kornelia Krumkühler,6,Dam,TriVäst,00:37:28,2248.3,ok,00:00:00,0.0,00:00:00,0.0,23,6
Linda Wahlin,7,Dam,TriVäst,00:37:36,2256.7,ok,00:00:00,0.0,00:00:00,0.0,24,7
Maria Nilsson,4,Dam,TriVäst,00:40:54,2454.2,ok,00:00:00,0.0,00:00:00,0.0,25,8
