Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Total_Transition,Transition_Seconds,Bike_Time,Bike_Seconds,Overall_Rank,Class_Rank
Jonathan Flod,21,Herr,TriVäst,00:24:12,1452.3,ok,00:00:00,0.0,00:00:00,0.0,1,1
Jonas Örarbäck,20,Herr,TriVäst,00:24:16,1456.6,ok,00:00:00,0.0,00:00:00,0.0,2,2
Pierre-Yves Guiot,24,Herr,TriVäst,00:24:37,1477.5,ok,00:00:00,0.0,00:00:00,0.0,3,3
Tobias Olsson,30,Herr,TriVäst,00:25:22,1523.0,ok,00:00:00,0.0,00:00:00,0.0,4,4
Fredrik Überbacher,22,Herr,TriVäst,00:26:53,1613.3,ok,00:00:00,0.0,00:00:00,0.0,5,5
Philip Skoglund,32,Herr,TriVäst,00:27:05,1625.8,ok,00:00:00,0.0,00:00:00,0.0,6,6
Christoffer Alm,29,Herr,TriVäst,00:27:26,1646.7,ok,00:00:00,0.0,00:00:00,0.0,7,7
David Engel,37,Herr,TriVäst,00:27:26,1646.8,ok,00:00:00,0.0,00:00:00,0.0,8,8
Peter Ljungberg,31,Herr,TriVäst,00:28:23,1703.2,ok,00:00:00,0.0,00:00:00,0.0,9,9
Johan Ekbäck,34,Herr,TriVäst,00:28:23,1703.3,ok,00:00:00,0.0,00:00:00,0.0,10,10
Marko Strube,38,Herr,TriVäst,00:28:59,1739.1,ok,00:00:00,0.0,00:00:00,0.0,11,11
Jan-Åke Kjellberg,39,Herr,TriVäst,00:29:31,1771.6,ok,00:00:00,0.0,00:00:00,0.0,12,12
My Forsberg,3,Dam,TriVäst,00:29:42,1782.2,ok,00:00:00,0.0,00:00:00,0.0,13,1
Adnan Hrustic,36,Herr,TriVäst,00:29:58,1798.9,ok,00:00:00,0.0,00:00:00,0.0,14,13
Stefan Artman,23,Herr,TriVäst,00:30:02,1802.4,ok,00:00:00,0.0,00:00:00,0.0,15,14
Elina Kiviniemi,2,Dam,TriVäst,00:30:14,1814.4,ok,00:00:00,0.0,00:00:00,0.0,16,2
Ewa Sondell,14,Dam,TriVäst,00:30:15,1815.9,ok,00:00:00,0.0,00:00:00,0.0,17,3
Agnes Uddenstig,7,Dam,TriVäst,00:30:31,1831.2,ok,00:00:00,0.0,00:00:00,0.0,18,4
Jonatan Hägerström,27,Herr,TriVäst,00:31:05,1865.6,ok,00:00:00,0.0,00:00:00,0.0,19,15
Elisabeth Mike,5,Dam,TriVäst,00:31:45,1905.9,ok,00:00:00,0.0,00:00:00,0.0,20,5
Andreas Stennert,28,Herr,TriVäst,00:32:02,1923.0,ok,00:00:00,0.0,00:00:00,0.0,21,16
François Diana,25,Herr,TriVäst,00:32:03,1923.9,ok,00:00:00,0.0,00:00:00,0.0,22,17
Lena Isgren,1,Dam,TriVäst,00:32:37,1957.5,ok,00:00:00,0.0,00:00:00,0.0,23,6
Amandine Durey,8,Dam,TriVäst,00:32:51,1971.3,ok,00:00:00,0.0,00:00:00,0.0,24,7
Maria Ernsfors,13,Dam,TriVäst,00:33:16,1996.3,ok,00:00:00,0.0,00:00:00,0.0,25,8
Anna Svensson,10,Dam,TriVäst,00:33:58,2038.1,ok,00:00:00,0.0,00:00:00,0.0,26,9
Heleni Sapnara,11,Dam,TriVäst,00:35:58,2159.0,ok,00:00:00,0.0,00:00:00,0.0,27,10
Lollo Samuelsson,12,Dam,TriVäst,00:37:02,2222.6,ok,00:00:00,0.0,00:00:00,0.0,28,11
Linda Wahlin,9,Dam,TriVäst,00:37:21,2241.8,ok,00:00:00,0.0,00:00:00,0.0,29,12
Kornelia Krumkühler,4,Dam,TriVäst,00:39:34,2374.3,ok,00:00:00,0.0,00:00:00,0.0,30,13
Maria Nilsson,15,Dam,TriVäst,00:39:55,2395.5,ok,00:00:00,0.0,00:00:00,0.0,31,14
Josefine Flod,6,Dam,TriVäst,00:40:22,2422.3,ok,00:00:00,0.0,00:00:00,0.0,32,15
