Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Total_Transition,Transition_Seconds,Swim_Time,Swim_Seconds,T1_Time,T1_Seconds,Bike_Time,Bike_Seconds,T2_Time,T2_Seconds,Run_Time,Run_Seconds,Swim_In,T1,Bike_Out,Bike_In,T2,Run_Out,Overall_Rank,Class_Rank
Jonathan Flod,92,Herr,TriVäst,01:04:38,3878.0,ok,00:02:06,126.7,00:10:09,609.1,00:01:32,92.9,00:34:33,2074.0,00:00:33,33.8,00:17:48,1068.3,00:10:09,00:01:32,00:11:41,00:46:15,00:00:33,00:46:49,1,1
Jan Ljungcrantz,90,Herr,TriVäst,01:13:33,4413.4,ok,00:01:32,92.1,00:12:55,775.3,00:00:47,47.1,00:38:20,2300.5,00:00:45,45.0,00:20:45,1245.5,00:12:55,00:00:47,00:13:42,00:52:02,00:00:45,00:52:47,2,2
David Engel,79,Herr,TriVäst,01:15:36,4536.5,ok,00:01:09,69.1,00:12:18,738.2,00:00:31,31.5,00:39:49,2389.7,00:00:37,37.6,00:22:19,1339.6,00:12:18,00:00:31,00:12:49,00:52:39,00:00:37,00:53:16,3,3
Jonatan Hägerström,81,Herr,TriVäst,01:16:28,4588.4,ok,00:01:58,118.5,00:12:10,730.5,00:00:57,58.0,00:39:54,2394.8,00:01:00,60.6,00:22:24,1344.5,00:12:10,00:00:57,00:13:08,00:53:03,00:01:00,00:54:03,4,4
Josefine Flod,94,Dam,TriVäst,01:17:51,4671.0,ok,00:00:00,,00:11:59,719.9,00:00:00,,00:53:04,3185.0,00:00:39,39.0,00:24:06,1447.0,00:11:59,00:00:00,00:00:00,00:53:04,00:00:39,00:53:44,5,1
Marko Strube,84,Herr,TriVäst,01:18:44,4724.4,ok,00:03:05,185.3,00:10:37,637.8,00:01:54,114.8,00:40:24,2424.8,00:01:10,70.5,00:24:36,1476.5,00:10:37,00:01:54,00:12:32,00:52:57,00:01:10,00:54:07,6,5
Christoffer Alm,82,Herr,TriVäst,01:21:42,4902.0,ok,00:03:04,184.6,00:13:38,818.9,00:00:59,59.2,00:42:39,2559.8,00:02:05,125.4,00:22:18,1338.7,00:13:38,00:00:59,00:14:38,00:57:17,00:02:05,00:59:23,7,6
Mathieu Lafond,80,Herr,TriVäst,01:22:02,4922.3,ok,00:01:21,81.1,00:13:25,805.2,00:00:23,23.1,00:43:48,2628.2,00:00:57,58.0,00:23:27,1407.8,00:13:25,00:00:23,00:13:48,00:57:36,00:00:57,00:58:34,8,7
Amandine Durey,97,Dam,TriVäst,01:25:18,5119.0,ok,00:02:10,131.0,00:13:43,823.3,00:01:36,96.1,00:44:07,2647.1,00:00:34,34.8,00:25:17,1517.6,00:13:43,00:01:36,00:15:19,00:59:26,00:00:34,01:00:01,9,2
Michael Kossenjans,91,Herr,TriVäst,01:26:25,5185.7,ok,00:02:00,120.1,00:14:00,840.2,00:01:24,84.8,00:44:32,2672.2,00:00:35,35.3,00:25:53,1553.2,00:14:00,00:01:24,00:15:25,00:59:57,00:00:35,01:00:32,10,8
