Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Total_Transition,Transition_Seconds,Swim_Time,Swim_Seconds,T1_Time,T1_Seconds,Bike_Time,Bike_Seconds,T2_Time,T2_Seconds,Run_Time,Run_Seconds,Swim_In,T1,Bike_Out,Bike_In,T2,Run_Out,Overall_Rank,Class_Rank
Simon Andreasson,83,Herr,TriVäst,01:29:13,5353.6,ok,00:03:03,183.7,00:15:20,920.4,00:01:53,113.3,00:43:40,2620.8,00:01:10,70.4,00:27:08,1628.7,00:15:20,00:01:53,00:17:13,01:00:54,00:01:10,01:02:04,11,9
Thiébaut Schirmer,85,Herr,TriVäst,01:29:58,5398.8,ok,00:03:08,188.9,00:14:25,865.3,00:02:38,158.3,00:50:05,3005.4,00:00:30,30.6,00:22:19,1339.2,00:14:25,00:02:38,00:17:03,01:07:09,00:00:30,01:07:39,12,10
Armando Hurtado Sandoval,86,Herr,TriVäst,01:30:34,5434.8,ok,00:03:10,191.0,00:14:46,886.9,00:02:12,132.6,00:46:29,2789.1,00:00:58,58.4,00:26:07,1567.8,00:14:46,00:02:12,00:16:59,01:03:28,00:00:58,01:04:27,13,11
François Diana,88,Herr,TriVäst,01:33:09,5589.5,ok,00:02:47,167.9,00:16:24,984.1,00:01:59,119.1,00:48:18,2898.2,00:00:48,48.8,00:25:39,1539.2,00:16:24,00:01:59,00:18:23,01:06:41,00:00:48,01:07:30,14,12
Carl Höwing,78,Herr,TriVäst,01:34:31,5672.0,ok,00:02:53,173.0,00:19:43,1183.9,00:02:27,147.1,00:51:26,3086.9,00:00:25,25.9,00:20:28,1228.3,00:19:43,00:02:27,00:22:10,01:13:37,00:00:25,01:14:03,15,13
Hanna Csakvary,98,Dam,TriVäst,01:37:22,5842.1,ok,00:00:00,,00:12:10,730.4,00:00:00,,01:07:44,4064.5,00:01:04,64.5,00:28:33,1713.1,00:12:10,00:00:00,00:00:00,01:07:44,00:01:04,01:08:48,16,3
Ronny Rosén,87,Herr,TriVäst,01:37:36,5856.9,ok,00:03:56,236.8,00:16:45,1005.2,00:01:36,96.6,00:50:14,3014.2,00:02:20,140.2,00:26:40,1600.7,00:16:45,00:01:36,00:18:21,01:08:36,00:02:20,01:10:56,17,14
Anna Peny Friberg,96,Dam,TriVäst,01:38:55,5935.8,ok,00:00:00,,00:16:11,971.9,00:00:00,,01:09:15,4155.6,00:00:45,45.3,00:28:54,1734.9,00:16:11,00:00:00,00:00:00,01:09:15,00:00:45,01:10:00,18,4
Camilla Carlsson,100,Dam,TriVäst,01:42:19,6139.0,ok,00:00:00,,00:24:04,1444.2,00:00:00,,01:13:24,4404.9,00:01:02,63.0,00:27:51,1671.2,00:24:04,00:00:00,00:00:00,01:13:24,00:01:02,01:14:27,19,5
Marie Löfgren,95,Dam,TriVäst,01:46:56,6416.4,ok,00:00:00,,00:16:03,963.8,00:00:00,,01:13:27,4407.0,00:01:37,97.5,00:31:51,1911.9,00:16:03,00:00:00,00:00:00,01:13:27,00:01:37,01:15:04,20,6
Victor Diana,76,Herr,TriVäst,01:47:31,6451.4,ok,00:03:26,206.1,00:19:45,1185.5,00:02:24,144.9,00:55:59,3359.3,00:01:01,61.2,00:28:20,1700.5,00:19:45,00:02:24,00:22:10,01:18:09,00:01:01,01:19:10,21,15
Kornelia Krumkühler,99,Dam,TriVäst,01:55:47,6947.7,ok,00:05:31,331.8,00:18:13,1093.7,00:03:16,196.0,00:58:37,3517.3,00:02:15,135.8,00:33:24,2004.9,00:18:13,00:03:16,00:21:29,01:20:06,00:02:15,01:22:22,22,7
