Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Total_Transition,Transition_Seconds,Run1_Time,Run1_Seconds,T1_Time,T1_Seconds,Bike_Time,Bike_Seconds,T2_Time,T2_Seconds,Run2_Time,Run2_Seconds,Run1_In,T1,Bike_Out,Bike_In,T2,Run2_Out,Overall_Rank,Class_Rank
Pontus Petrelius Risberg,10,Herr,TriVäst,00:59:16,3556.9,ok,00:00:59,59.0,00:17:20,1040.1,00:00:27,27.9,00:31:53,1913.6,00:00:31,31.1,00:09:04,544.1,00:17:20,00:00:27,00:17:48,00:49:41,00:00:31,00:50:12,1,1
Jonatan Hägerström,6,Herr,TriVäst,01:01:06,3666.6,ok,00:01:39,99.5,00:18:54,1134.2,00:00:56,57.0,00:31:11,1872.0,00:00:42,42.5,00:09:20,561.0,00:18:54,00:00:56,00:19:51,00:51:03,00:00:42,00:51:45,2,2
Jonathan Flod,7,Herr,TriVäst,01:01:25,3685.1,ok,00:01:09,69.6,00:18:26,1106.5,00:00:34,34.4,00:32:22,1942.7,00:00:35,35.2,00:09:26,566.3,00:18:26,00:00:34,00:19:00,00:51:23,00:00:35,00:51:58,3,3
Manuel Valdez,8,Herr,Gäst,01:06:41,4001.8,ok,00:01:46,106.8,00:19:08,1148.7,00:00:59,59.1,00:35:18,2118.7,00:00:47,47.7,00:10:27,627.5,00:19:08,00:00:59,00:20:07,00:55:26,00:00:47,00:56:14,4,4
Albéric Duriaux,1,Herr,TriVäst,01:09:21,4161.4,ok,00:01:47,107.3,00:20:03,1203.9,00:00:53,53.6,00:36:58,2218.9,00:00:53,53.7,00:10:31,631.3,00:20:03,00:00:53,00:20:57,00:57:56,00:00:53,00:58:50,5,5
Martin Flinta,9,Herr,TriVäst,01:10:00,4200.7,ok,00:01:09,70.0,00:21:13,1273.8,00:00:28,28.7,00:36:25,2185.8,00:00:41,41.2,00:11:11,671.0,00:21:13,00:00:28,00:21:42,00:58:08,00:00:41,00:58:49,6,6
Rasmus Johansson,11,Herr,TriVäst,01:10:31,4231.4,ok,00:01:47,107.2,00:20:45,1245.7,00:00:51,51.4,00:36:47,2207.1,00:00:55,55.9,00:11:11,671.5,00:20:45,00:00:51,00:21:37,00:58:24,00:00:55,00:59:19,7,7
Runar Höiom,12,Herr,TriVäst,01:12:14,4334.2,ok,00:02:55,175.2,00:20:50,1250.1,00:01:13,74.0,00:37:15,2235.9,00:01:41,101.2,00:11:13,673.1,00:20:50,00:01:13,00:22:04,00:59:19,00:01:41,01:01:01,8,8
Elias Wennersten,2,Herr,TriVäst,01:15:04,4504.0,ok,00:03:02,182.3,00:22:30,1350.6,00:01:33,93.4,00:37:40,2260.5,00:01:28,88.9,00:11:50,710.6,00:22:30,00:01:33,00:24:03,01:01:44,00:01:28,01:03:13,9,9
Filippa Bonorden,14,Dam,TriVäst,01:22:20,4941.0,ok,00:01:12,72.5,00:25:25,1525.4,00:00:36,36.6,00:42:04,2524.5,00:00:35,35.9,00:13:38,818.6,00:25:25,00:00:36,00:26:02,01:08:06,00:00:35,01:08:42,10,1
François Diana,3,Herr,TriVäst,01:24:05,5045.7,ok,00:02:23,143.4,00:25:02,1502.9,00:01:08,68.5,00:43:59,2639.1,00:01:14,74.9,00:12:40,760.2,00:25:02,00:01:08,00:26:11,01:10:10,00:01:14,01:11:25,11,10
Samuel Karlsson,13,Herr,TriVäst,01:24:48,5088.1,ok,00:01:57,117.8,00:25:36,1537.0,00:01:10,70.5,00:44:44,2684.7,00:00:47,47.3,00:12:28,748.6,00:25:36,00:01:10,00:26:47,01:11:32,00:00:47,01:12:19,12,11
Miriam Degerman,17,Dam,TriVäst,01:31:38,5498.7,ok,00:02:40,160.7,00:30:20,1820.5,00:01:24,84.8,00:43:28,2608.9,00:01:15,75.9,00:15:08,908.5,00:30:20,00:01:24,00:31:45,01:15:14,00:01:15,01:16:30,13,2
Ida Stjernkvist,15,Dam,TriVäst,01:36:22,5782.1,ok,00:02:08,128.9,00:31:45,1905.3,00:01:14,74.3,00:46:22,2782.9,00:00:54,54.6,00:16:04,965.0,00:31:45,00:01:14,00:32:59,01:19:22,00:00:54,01:20:17,14,3
Kornelia Krumkühler,16,Dam,TriVäst,01:36:22,5782.5,ok,00:02:02,122.8,00:31:52,1912.2,00:01:08,68.6,00:46:22,2782.6,00:00:54,54.2,00:16:04,965.0,00:31:52,00:01:08,00:33:00,01:19:23,00:00:54,01:20:17,15,4
Simon Flinta,19,Ungdom,TriVäst,00:43:01,2581.8,ok,00:01:07,67.6,00:10:31,631.3,00:00:31,31.1,00:19:32,1172.5,00:00:36,36.6,00:11:50,710.3,00:10:31,00:00:31,00:11:02,00:30:34,00:00:36,00:31:11,1,1
Harry Engel,20,Barn,TriVäst,00:22:17,1337.9,ok,00:00:25,25.3,00:05:57,357.9,00:00:10,10.3,00:12:02,722.2,00:00:15,15.0,00:03:52,232.5,00:05:57,00:00:10,00:06:08,00:18:10,00:00:15,00:18:25,1,1
