Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Total_Transition,Transition_Seconds,Swim_Time,Swim_Seconds,T1_Time,T1_Seconds,Bike_Time,Bike_Seconds,T2_Time,T2_Seconds,Run_Time,Run_Seconds,Swim_In,T1,Bike_Out,Bike_In,T2,Run_Out,Overall_Rank,Class_Rank
Jonathan Flod,44,Herr,TriVäst,01:07:09,4029.9,ok,00:01:29,89.0,00:11:51,711.3,00:00:44,44.7,00:35:06,2106.9,00:00:44,44.3,00:18:42,1122.6,00:11:51,00:00:44,00:12:36,00:47:42,00:00:44,00:48:27,1,1
Jonatan Hägerström,52,Herr,TriVäst,01:07:33,4053.1,ok,00:01:24,84.4,00:11:53,713.1,00:00:48,48.4,00:34:58,2098.1,00:00:36,36.0,00:19:17,1157.5,00:11:53,00:00:48,00:12:41,00:47:39,00:00:36,00:48:15,2,2
Fredrik Überbacher,14,Herr,TriVäst,01:08:07,4087.2,ok,00:01:41,101.8,00:11:46,706.9,00:01:20,80.9,00:37:24,2244.8,00:00:20,20.9,00:17:13,1033.7,00:11:46,00:01:20,00:13:07,00:50:32,00:00:20,00:50:53,3,3
Daan Gehlen,38,Herr,TriVäst,01:11:38,4298.1,ok,00:01:53,113.4,00:10:53,653.4,00:01:13,73.8,00:39:28,2368.2,00:00:39,39.6,00:19:23,1163.1,00:10:53,00:01:13,00:12:07,00:51:35,00:00:39,00:52:14,4,4
Martin Flinta,29,Herr,TriVäst,01:12:01,4321.6,ok,00:01:26,86.1,00:11:58,718.6,00:00:45,45.7,00:39:23,2363.7,00:00:40,40.4,00:19:13,1153.1,00:11:58,00:00:45,00:12:44,00:52:08,00:00:40,00:52:48,5,5
Jan Ljungcrantz,51,Herr,TriVäst,01:13:25,4405.1,ok,00:01:56,116.6,00:13:27,807.5,00:01:09,69.0,00:38:47,2327.1,00:00:47,47.6,00:19:13,1153.8,00:13:27,00:01:09,00:14:36,00:53:23,00:00:47,00:54:11,6,6
Christoffer Alm,30,Herr,TriVäst,01:16:47,4607.5,ok,00:02:28,148.4,00:13:57,837.8,00:01:03,63.0,00:39:43,2383.0,00:01:25,85.3,00:20:38,1238.3,00:13:57,00:01:03,00:15:00,00:54:43,00:01:25,00:56:09,7,7
Jennifer Carter,42,Dam,TriVäst,01:17:13,4633.2,ok,00:02:31,151.4,00:12:20,740.4,00:01:46,106.8,00:42:19,2539.6,00:00:44,44.6,00:20:01,1201.8,00:12:20,00:01:46,00:14:07,00:56:26,00:00:44,00:57:11,8,1
Henri Pesonen,24,Herr,Gäst,01:18:03,4683.8,ok,00:01:52,112.3,00:12:18,738.1,00:01:08,68.6,00:43:55,2635.4,00:00:43,43.7,00:19:58,1198.0,00:12:18,00:01:08,00:13:26,00:57:22,00:00:43,00:58:05,9,8
Tim Suits,46,Herr,Gäst,01:19:22,4762.7,ok,00:02:09,130.0,00:13:34,814.2,00:01:24,84.4,00:42:40,2560.2,00:00:45,45.6,00:20:58,1258.4,00:13:34,00:01:24,00:14:58,00:57:38,00:00:45,00:58:24,10,9
Karl Wackerberg,41,Herr,TriVäst,01:19:33,4773.2,ok,00:02:01,121.1,00:11:44,704.9,00:01:17,77.8,00:43:06,2587.0,00:00:43,43.3,00:22:40,1360.2,00:11:44,00:01:17,00:13:02,00:56:09,00:00:43,00:56:53,11,10
Marcelo Chiaverini,33,Herr,TriVäst,01:19:38,4778.6,ok,00:02:23,143.9,00:12:02,722.4,00:01:19,79.4,00:41:38,2498.6,00:01:04,64.5,00:23:33,1413.7,00:12:02,00:01:19,00:13:21,00:55:00,00:01:04,00:56:04,12,11
Louise Bichler,12,Dam,TriVäst,01:23:59,5039.7,ok,00:03:03,183.4,00:13:23,803.9,00:01:27,87.9,00:45:42,2743.0,00:01:35,95.5,00:21:49,1309.4,00:13:23,00:01:27,00:14:51,01:00:34,00:01:35,01:02:10,13,2
Andreas Wallin,22,Herr,TriVäst,01:24:35,5075.2,ok,00:02:43,163.4,00:15:55,955.9,00:01:35,95.3,00:45:32,2732.7,00:01:08,68.1,00:20:23,1223.3,00:15:55,00:01:35,00:17:31,01:03:03,00:01:08,01:04:11,14,12
Noa Behrendt,4,Dam,Gäst,01:24:57,5097.2,ok,00:02:53,173.8,00:16:29,989.7,00:02:01,121.5,00:44:36,2676.3,00:00:52,52.3,00:20:57,1257.4,00:16:29,00:02:01,00:18:31,01:03:07,00:00:52,01:03:59,15,3
Elin Maria Johansson,3,Dam,TriVäst,01:27:02,5222.1,ok,00:02:09,129.9,00:15:08,908.6,00:01:30,90.5,00:47:48,2868.0,00:00:39,39.4,00:21:55,1315.6,00:15:08,00:01:30,00:16:39,01:04:27,00:00:39,01:05:06,16,4
Richard Liden,21,Herr,TriVäst,01:31:04,5464.5,ok,00:03:35,215.1,00:16:37,997.2,00:02:02,122.5,00:47:32,2852.4,00:01:32,92.6,00:23:19,1399.9,00:16:37,00:02:02,00:18:39,01:06:12,00:01:32,01:07:44,17,13
Kajsa Holmes,6,Dam,TriVäst,01:31:56,5516.2,ok,00:01:58,118.6,00:12:11,732.0,00:01:25,85.2,00:50:52,3052.9,00:00:33,33.4,00:26:52,1612.6,00:12:11,00:01:25,00:13:37,01:04:30,00:00:33,01:05:03,18,5
Jens Lejhall,39,Herr,TriVäst,01:34:01,5641.5,ok,00:03:42,222.8,00:16:20,980.4,00:02:28,148.3,00:49:06,2946.7,00:01:14,74.5,00:24:51,1491.7,00:16:20,00:02:28,00:18:48,01:07:55,00:01:14,01:09:09,19,14
Thomas Lundberg,36,Herr,TriVäst,01:36:13,5773.2,ok,00:04:09,249.8,00:17:17,1037.5,00:02:46,166.8,00:48:13,2893.5,00:01:22,82.9,00:26:32,1592.4,00:17:17,00:02:46,00:20:04,01:08:17,00:01:22,01:09:40,20,15
Thim Andersson,31,Herr,Gäst,01:37:24,5844.8,ok,00:03:50,230.8,00:20:11,1211.4,00:02:35,155.6,00:49:53,2994.0,00:01:15,75.2,00:23:28,1408.6,00:20:11,00:02:35,00:22:46,01:12:40,00:01:15,01:13:56,21,16
Ronny Rosén,35,Herr,TriVäst,01:40:36,6036.3,ok,00:05:51,351.1,00:17:06,1026.6,00:04:58,298.5,00:53:30,3210.5,00:00:52,52.6,00:24:08,1448.1,00:17:06,00:04:58,00:22:05,01:15:35,00:00:52,01:16:28,22,17
