Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Total_Transition,Transition_Seconds,Run1_Time,Run1_Seconds,T1_Time,T1_Seconds,Bike_Time,Bike_Seconds,T2_Time,T2_Seconds,Run2_Time,Run2_Seconds,Run1_In,T1,Bike_Out,Bike_In,T2,Run2_Out,Overall_Rank,Class_Rank
Jonathan Flod,29,Herr,TriVäst,00:58:50,3530.5,ok,00:01:21,81.9,00:17:03,1023.8,00:00:37,37.6,00:31:24,1884.9,00:00:44,44.2,00:08:59,540.0,00:17:03,00:00:37,00:17:41,00:49:06,00:00:44,00:49:50,1,1
Fredrik Überbacher,24,Herr,TriVäst,01:02:06,3726.7,ok,00:01:30,90.4,00:17:25,1045.5,00:01:04,64.1,00:33:52,2032.7,00:00:26,26.3,00:09:18,558.1,00:17:25,00:01:04,00:18:29,00:52:22,00:00:26,00:52:48,2,2
Jonatan Hägerström,22,Herr,TriVäst,01:05:14,3914.5,ok,00:01:46,106.6,00:19:35,1175.2,00:00:47,47.5,00:34:02,2042.3,00:00:59,59.0,00:09:50,590.3,00:19:35,00:00:47,00:20:22,00:54:25,00:00:59,00:55:24,3,3
Jonas Örarbäck,39,Herr,TriVäst,01:07:36,4056.0,ok,00:01:15,75.6,00:19:33,1173.1,00:00:29,29.3,00:35:21,2121.7,00:00:46,46.2,00:11:25,685.6,00:19:33,00:00:29,00:20:02,00:55:24,00:00:46,00:56:10,4,4
Emma Nilsson,3,Dam,TriVäst,01:08:25,4105.6,ok,00:01:26,86.9,00:20:14,1214.3,00:00:44,44.0,00:36:23,2183.1,00:00:42,42.9,00:10:21,621.3,00:20:14,00:00:44,00:20:58,00:57:21,00:00:42,00:58:04,5,1
Karl Wackerberg,41,Herr,TriVäst,01:09:00,4140.5,ok,00:01:32,92.5,00:21:20,1280.8,00:00:46,46.9,00:35:33,2133.1,00:00:45,45.6,00:10:34,634.1,00:21:20,00:00:46,00:22:07,00:57:40,00:00:45,00:58:26,6,5
Martin Flinta,42,Herr,TriVäst,01:10:00,4200.7,ok,00:01:33,93.9,00:20:39,1239.6,00:00:41,41.0,00:36:26,2186.7,00:00:52,52.9,00:11:20,680.5,00:20:39,00:00:41,00:21:20,00:57:47,00:00:52,00:58:40,7,6
Albéric Duriaux,20,Herr,TriVäst,01:10:22,4222.7,ok,00:02:11,131.5,00:19:57,1198.0,00:01:03,63.4,00:37:35,2255.8,00:01:08,68.2,00:10:37,637.4,00:19:57,00:01:03,00:21:01,00:58:37,00:01:08,00:59:45,8,7
Magnus Ekstrand,44,Herr,TriVäst,01:11:50,4310.0,ok,00:02:38,158.1,00:20:09,1209.7,00:01:19,79.4,00:37:36,2256.8,00:01:18,78.6,00:11:25,685.4,00:20:09,00:01:19,00:21:29,00:59:05,00:01:18,01:00:24,9,8
Richard Karlsson,33,Herr,TriVäst,01:14:07,4447.1,ok,00:02:36,156.6,00:21:11,1271.9,00:01:20,81.0,00:40:03,2403.9,00:01:15,75.6,00:10:14,614.7,00:21:11,00:01:20,00:22:32,01:02:36,00:01:15,01:03:52,10,9
Johan Ekbäck,36,Herr,TriVäst,01:15:08,4508.4,ok,01:04:11,3851.6,00:22:04,1324.8,00:01:00,60.0,00:00:00,,01:03:11,3791.6,00:11:56,716.7,,,00:23:04,00:00:00,01:03:11,01:03:11,11,10
Fredrik Brunberg,31,Herr,TriVäst,01:15:54,4554.3,ok,00:01:49,109.1,00:21:57,1317.5,00:01:14,74.6,00:40:16,2416.6,00:00:34,34.5,00:11:51,711.2,00:21:57,00:01:14,00:23:12,01:03:28,00:00:34,01:04:03,12,11
Michael Kossenjans,30,Herr,TriVäst,01:17:33,4654.0,ok,00:00:00,,00:23:01,1381.5,00:00:00,,01:04:52,3892.3,00:00:23,23.5,00:12:18,738.1,00:23:01,00:00:00,00:00:00,01:04:52,00:00:23,01:05:15,13,12
Elina Kiviniemi,8,Dam,TriVäst,01:18:57,4737.6,ok,00:01:32,92.8,00:24:00,1440.6,00:00:50,50.4,00:41:38,2498.3,00:00:42,42.4,00:11:45,705.9,00:24:00,00:00:50,00:24:51,01:06:29,00:00:42,01:07:11,14,2
Adnan Hrustic,38,Herr,TriVäst,01:19:15,4755.9,ok,00:02:12,132.7,00:26:02,1562.4,00:01:22,82.8,00:40:06,2406.5,00:00:49,49.8,00:10:54,654.3,00:26:02,00:01:22,00:27:25,01:07:31,00:00:49,01:08:21,15,13
Jessica Nilsson,50,Dam,TriVäst,01:19:37,4777.4,ok,00:01:44,104.7,00:22:20,1340.3,00:00:54,54.2,00:44:27,2667.5,00:00:50,50.5,00:11:04,664.9,00:22:20,00:00:54,00:23:14,01:07:41,00:00:50,01:08:32,16,3
Emma Skygebjerg,14,Dam,TriVäst,01:20:54,4854.4,ok,00:01:29,89.4,00:22:52,1372.3,00:00:58,58.9,00:45:06,2706.7,00:00:30,30.5,00:11:25,685.9,00:22:52,00:00:58,00:23:51,01:08:57,00:00:30,01:09:28,17,4
Sofia Haglund,4,Dam,TriVäst,01:22:26,4946.8,ok,00:01:53,113.4,00:25:46,1546.4,00:01:06,66.7,00:40:51,2451.3,00:00:46,46.7,00:13:55,835.7,00:25:46,00:01:06,00:26:53,01:07:44,00:00:46,01:08:31,18,5
Armando Hurtado Sandoval,49,Herr,TriVäst,01:26:04,5164.9,ok,00:00:00,,00:16:38,998.6,00:00:00,,01:10:21,4222.0,00:01:28,88.8,00:14:14,854.1,00:16:38,00:00:00,00:00:00,01:10:21,00:01:28,01:11:50,19,14
Madelaine Pirhonen,13,Dam,TriVäst,01:28:10,5290.9,ok,00:03:30,210.4,00:26:47,1607.3,00:01:49,110.0,00:43:01,2581.9,00:01:40,100.4,00:14:51,891.3,00:26:47,00:01:49,00:28:37,01:11:39,00:01:40,01:13:19,20,6
