Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Total_Transition,Transition_Seconds,Run_Time,Run_Seconds,Overall_Rank,Class_Rank
Jonathan Flod,25,Herr,TriVäst,00:16:03,963.1,ok,00:00:00,0.0,00:00:00,0.0,1,1
Fredrik Überbacher,23,Herr,TriVäst,00:16:06,966.3,ok,00:00:00,0.0,00:00:00,0.0,2,2
Pierre-Yves Guiot,21,Herr,TriVäst,00:16:08,968.6,ok,00:00:00,0.0,00:00:00,0.0,3,3
Daan Gehlen,28,Herr,TriVäst,00:16:45,1005.6,ok,00:00:00,0.0,00:00:00,0.0,4,4
Jonas Örarbäck,30,Herr,TriVäst,00:17:23,1043.4,ok,00:00:00,0.0,00:00:00,0.0,5,5
Daniel Malmhäll,36,Herr,TriVäst,00:17:54,1074.9,ok,00:00:00,0.0,00:00:00,0.0,6,6
Jonatan Hägerström,27,Herr,TriVäst,00:18:14,1094.5,ok,00:00:00,0.0,00:00:00,0.0,7,7
Tobias Olsson,35,Herr,TriVäst,00:18:27,1107.3,ok,00:00:00,0.0,00:00:00,0.0,8,8
Philip Skoglund,38,Herr,TriVäst,00:18:50,1130.4,ok,00:00:00,0.0,00:00:00,0.0,9,9
Fredrik Rosén,24,Herr,TriVäst,00:18:54,1134.3,ok,00:00:00,0.0,00:00:00,0.0,10,10
Christoffer Alm,31,Herr,TriVäst,00:18:59,1139.7,ok,00:00:00,0.0,00:00:00,0.0,11,11
My Forsberg,8,Dam,TriVäst,00:19:18,1158.5,ok,00:00:00,0.0,00:00:00,0.0,12,1
Ludvig Sylvan,37,Herr,TriVäst,00:19:48,1188.5,ok,00:00:00,0.0,00:00:00,0.0,13,12
Alexander Björk,26,Herr,TriVäst,00:20:02,1202.6,ok,00:00:00,0.0,00:00:00,0.0,14,13
Emma Nilsson,4,Dam,TriVäst,00:20:03,1203.8,ok,00:00:00,0.0,00:00:00,0.0,15,2
François Diana,29,Herr,TriVäst,00:20:06,1206.5,ok,00:00:00,0.0,00:00:00,0.0,16,14
Bengt Löfgren,40,Herr,TriVäst,00:20:40,1240.1,ok,00:00:00,0.0,00:00:00,0.0,17,15
Ronny Rosén,41,Herr,TriVäst,00:21:30,1290.9,ok,00:00:00,0.0,00:00:00,0.0,18,16
Robert Spethz,33,Herr,TriVäst,00:21:47,1307.3,ok,00:00:00,0.0,00:00:00,0.0,19,17
Elina Kiviniemi,2,Dam,TriVäst,00:21:53,1313.8,ok,00:00:00,0.0,00:00:00,0.0,20,3
Einar Ekbäck,39,Herr,TriVäst,00:23:51,1431.4,ok,00:00:00,0.0,00:00:00,0.0,21,18
Kornelia Krumkühler,1,Dam,TriVäst,00:26:15,1575.4,ok,00:00:00,0.0,00:00:00,0.0,22,4
Marie Löfgren,5,Dam,TriVäst,00:27:16,1636.0,ok,00:00:00,0.0,00:00:00,0.0,23,5
