Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Total_Transition,Transition_Seconds,Bike_Time,Bike_Seconds,Overall_Rank,Class_Rank
Jonathan Flod,23,Herr,TriVäst,00:23:39,1420.0,ok,00:00:00,0.0,00:00:00,0.0,1,1
Pontus Petrelius Risberg,18,Herr,TriVäst,00:23:51,1431.4,ok,00:00:00,0.0,00:00:00,0.0,2,2
Marcus Claudelin,9,Herr,Gäst,00:24:04,1444.9,ok,00:00:00,0.0,00:00:00,0.0,3,3
Jonatan Hägerström,13,Herr,TriVäst,00:24:26,1466.5,ok,00:00:00,0.0,00:00:00,0.0,4,4
Philip Näslund,32,Herr,Gäst,00:24:36,1476.6,ok,00:00:00,0.0,00:00:00,0.0,5,5
Stijn van Weegberg,20,Herr,TriVäst,00:25:16,1516.0,ok,00:00:00,0.0,00:00:00,0.0,6,6
Fredrik Überbacher,30,Herr,TriVäst,00:25:25,1525.6,ok,00:00:00,0.0,00:00:00,0.0,7,7
Fredrik Rosén,24,Herr,TriVäst,00:25:34,1534.0,ok,00:00:00,0.0,00:00:00,0.0,8,8
Daan Gehlen,31,Herr,TriVäst,00:25:37,1537.4,ok,00:00:00,0.0,00:00:00,0.0,9,9
Viktor Ixion Meszaros,27,Herr,TriVäst,00:26:30,1590.9,ok,00:00:00,0.0,00:00:00,0.0,10,10
Emma Nilsson,7,Dam,TriVäst,00:26:36,1596.3,ok,00:00:00,0.0,00:00:00,0.0,11,1
Jonathan Fager,29,Herr,TriVäst,00:26:39,1599.4,ok,00:00:00,0.0,00:00:00,0.0,12,11
Simon Andreasson,22,Herr,TriVäst,00:26:52,1612.1,ok,00:00:00,0.0,00:00:00,0.0,13,12
Josefine Flod,1,Dam,TriVäst,00:27:07,1627.6,ok,00:00:00,0.0,00:00:00,0.0,14,2
Peter Karlsson,12,Herr,TriVäst,00:27:30,1650.5,ok,00:00:00,0.0,00:00:00,0.0,15,13
Luis Anula,14,Herr,TriVäst,00:27:32,1652.8,ok,00:00:00,0.0,00:00:00,0.0,16,14
Albéric Duriaux,25,Herr,TriVäst,00:27:33,1653.1,ok,00:00:00,0.0,00:00:00,0.0,17,15
Jan-Åke Kjellberg,21,Herr,TriVäst,00:27:43,1663.1,ok,00:00:00,0.0,00:00:00,0.0,18,16
Elina Kiviniemi,4,Dam,TriVäst,00:28:19,1699.5,ok,00:00:00,0.0,00:00:00,0.0,19,3
Johan Ekbäck,15,Herr,TriVäst,00:29:20,1760.2,ok,00:00:00,0.0,00:00:00,0.0,20,17
Theo Göpel,28,Herr,TriVäst,00:30:20,1820.5,ok,00:00:00,0.0,00:00:00,0.0,21,18
Christian Salgueiro Frödeberg,19,Herr,TriVäst,00:31:17,1877.4,ok,00:00:00,0.0,00:00:00,0.0,22,19
Ida Stjernkvist,6,Dam,TriVäst,00:31:22,1882.3,ok,00:00:00,0.0,00:00:00,0.0,23,4
Kornelia Krumkühler,8,Dam,TriVäst,00:31:24,1884.0,ok,00:00:00,0.0,00:00:00,0.0,24,5
Alexander Åstrand,16,Herr,TriVäst,00:31:27,1887.3,ok,00:00:00,0.0,00:00:00,0.0,25,20
Madelaine Pirhonen,5,Dam,TriVäst,00:31:56,1916.4,ok,00:00:00,0.0,00:00:00,0.0,26,6
François Diana,17,Herr,TriVäst,00:32:16,1936.8,ok,00:00:00,0.0,00:00:00,0.0,27,21
Kajsa Holmes,3,Dam,TriVäst,00:34:18,2058.7,ok,00:00:00,0.0,00:00:00,0.0,28,7
Daniele Cassani,10,Herr,TriVäst,00:37:46,2266.5,ok,00:00:00,0.0,00:00:00,0.0,29,22
