Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Total_Transition,Transition_Seconds,Run_Time,Run_Seconds,Overall_Rank,Class_Rank
Viktor Runnby,36,Herr,TriVäst,00:15:54,954.1,ok,00:00:00,0.0,00:00:00,0.0,1,1
Jonathan Flod,29,Herr,TriVäst,00:15:57,957.1,ok,00:00:00,0.0,00:00:00,0.0,2,2
Axel Rosencrantz,21,Herr,TriVäst,00:16:03,963.7,ok,00:00:00,0.0,00:00:00,0.0,3,3
Fredrik Überbacher,26,Herr,TriVäst,00:16:18,978.4,ok,00:00:00,0.0,00:00:00,0.0,4,4
Jonas Örarbäck,33,Herr,TriVäst,00:16:46,1006.3,ok,00:00:00,0.0,00:00:00,0.0,5,5
Erik Arnström,31,Herr,Gäst,00:17:23,1043.6,ok,00:00:00,0.0,00:00:00,0.0,6,6
Fredrik Rosén,22,Herr,TriVäst,00:18:01,1081.2,ok,00:00:00,0.0,00:00:00,0.0,7,7
Daniel Malmhäll,39,Herr,TriVäst,00:18:05,1085.8,ok,00:00:00,0.0,00:00:00,0.0,8,8
Sava Iancovici,37,Herr,TriVäst,00:18:16,1096.1,ok,00:00:00,0.0,00:00:00,0.0,9,9
Karl Wackerberg,30,Herr,TriVäst,00:18:29,1109.3,ok,00:00:00,0.0,00:00:00,0.0,10,10
Peter Ljungberg,34,Herr,TriVäst,00:19:14,1154.5,ok,00:00:00,0.0,00:00:00,0.0,11,11
Jonatan Hägerström,23,Herr,TriVäst,00:19:27,1167.7,ok,00:00:00,0.0,00:00:00,0.0,12,12
Helena Jakobsson Larsson,9,Dam,Gäst,00:19:51,1191.4,ok,00:00:00,0.0,00:00:00,0.0,13,1
Christoffer Alm,35,Herr,TriVäst,00:20:00,1200.7,ok,00:00:00,0.0,00:00:00,0.0,14,13
Ludvig Sylvan,28,Herr,TriVäst,00:20:19,1219.1,ok,00:00:00,0.0,00:00:00,0.0,15,14
François Diana,24,Herr,TriVäst,00:20:24,1224.0,ok,00:00:00,0.0,00:00:00,0.0,16,15
Richard Holmes,25,Herr,TriVäst,00:20:34,1234.7,ok,00:00:00,0.0,00:00:00,0.0,17,16
Adnan Hrustic,32,Herr,TriVäst,00:20:41,1241.7,ok,00:00:00,0.0,00:00:00,0.0,18,17
Jan-Åke Kjellberg,38,Herr,TriVäst,00:22:07,1327.6,ok,00:00:00,0.0,00:00:00,0.0,19,18
Amandine Durey,11,Dam,TriVäst,00:22:09,1329.7,ok,00:00:00,0.0,00:00:00,0.0,20,2
Hanna Yttring,4,Dam,TriVäst,00:22:22,1342.8,ok,00:00:00,0.0,00:00:00,0.0,21,3
Josefine Flod,8,Dam,TriVäst,00:22:38,1358.2,ok,00:00:00,0.0,00:00:00,0.0,22,4
Elina Kiviniemi,5,Dam,TriVäst,00:23:30,1410.9,ok,00:00:00,0.0,00:00:00,0.0,23,5
Elisabeth Mike,3,Dam,TriVäst,00:23:54,1434.4,ok,00:00:00,0.0,00:00:00,0.0,24,6
My Forsberg,10,Dam,TriVäst,00:24:37,1477.1,ok,00:00:00,0.0,00:00:00,0.0,25,7
Maria Ernsfors,6,Dam,TriVäst,00:25:40,1540.8,ok,00:00:00,0.0,00:00:00,0.0,26,8
Ann-Catherine Ericson,1,Dam,TriVäst,00:27:16,1636.2,ok,00:00:00,0.0,00:00:00,0.0,27,9
